,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_won,games_against_lost,games_draw_home_team,games_draw_away_team,League_21518.0,League_24558.0,B365_Win,B365_Draw,B365_Defeat,BW_Win,BW_Draw,BW_Defeat,label
154,-22.0,-10.0,6.0,4.0,1.0,0.0,3.0,8.0,1,0,0.48908296943231444,0.2724890829694323,0.23842794759825325,0.49168474331164136,0.274765003615329,0.23355025307302965,0.0
155,-8.0,44.0,3.0,16.0,0.0,1.0,6.0,3.0,1,0,0.09489051094890512,0.14598540145985403,0.759124087591241,0.09315165041700929,0.1433102314107835,0.7635381181722072,0.0
156,10.0,-7.0,10.0,5.0,0.0,0.0,7.0,3.0,1,0,0.5875440658049352,0.25381903642773207,0.15863689776733253,0.5968281006026351,0.253248680525983,0.14992321887138194,0.0
157,34.0,-4.0,12.0,8.0,1.0,0.0,5.0,5.0,1,0,0.7250755287009064,0.1570996978851964,0.1178247734138973,0.7201565557729942,0.16281800391389434,0.11702544031311157,2.0
158,7.0,-19.0,9.0,5.0,1.0,0.0,5.0,1.0,1,0,0.6086603675149267,0.25482580719958264,0.1365138252854907,0.6039488966318234,0.2400309717382888,0.1560201316298877,1.0
159,-5.0,20.0,5.0,14.0,0.0,1.0,7.0,3.0,1,0,0.23741007194244607,0.2877697841726619,0.47482014388489213,0.2391304347826087,0.2826086956521739,0.4782608695652174,0.0
160,-3.0,4.0,5.0,8.0,0.0,1.0,9.0,6.0,1,0,0.3788187372708758,0.3054989816700611,0.3156822810590631,0.35917421529386984,0.3012428902464715,0.3395828944596588,1.0
161,-7.0,-14.0,5.0,6.0,0.0,0.0,7.0,4.0,1,0,0.4543429844097996,0.28062360801781744,0.26503340757238314,0.4658527279664251,0.28233498664631823,0.25181228538725675,2.0
162,-25.0,-26.0,6.0,2.0,0.0,1.0,3.0,6.0,1,0,0.48908296943231444,0.2724890829694323,0.23842794759825325,0.48143053645116923,0.2682255845942228,0.25034387895460797,2.0
163,-24.0,-12.0,2.0,3.0,0.0,0.0,6.0,5.0,1,0,0.4308880308880309,0.2633204633204634,0.3057915057915058,0.43398484244116475,0.2744315915436777,0.29158356601515756,1.0
164,16.0,8.0,11.0,9.0,0.0,0.0,6.0,7.0,1,0,0.5533013648100332,0.2552563629656953,0.1914422722242715,0.5611722264285397,0.26032156059323924,0.17850621297822117,2.0
165,-6.0,40.0,6.0,13.0,0.0,0.0,3.0,4.0,1,0,0.10047846889952154,0.18181818181818185,0.7177033492822967,0.10727681920480121,0.17066766691672922,0.7220555138784697,0.0
166,-11.0,4.0,7.0,8.0,0.0,0.0,5.0,6.0,1,0,0.4509283819628648,0.2785145888594165,0.27055702917771884,0.44365361803084225,0.2740213523131673,0.28232502965599054,2.0
167,-16.0,-6.0,5.0,5.0,0.0,0.0,2.0,7.0,1,0,0.36383263698698604,0.2944245647002379,0.34174279831277615,0.3664265580958347,0.2875039148136549,0.3460695270905105,2.0
168,23.0,-4.0,15.0,4.0,0.0,0.0,3.0,10.0,1,0,0.7630057803468208,0.17341040462427745,0.06358381502890173,0.7434944237918215,0.17843866171003717,0.07806691449814127,2.0
169,4.0,-18.0,8.0,3.0,0.0,0.0,6.0,2.0,1,0,0.5895128762022959,0.25131864722308406,0.1591684765746199,0.5942947702060223,0.25356576862123614,0.1521394611727417,2.0
170,6.0,-4.0,9.0,6.0,0.0,0.0,4.0,7.0,1,0,0.661129263749351,0.2198674687757657,0.11900326747488318,0.658505872881531,0.21251780442994858,0.12897632268852052,2.0
171,-15.0,-18.0,6.0,7.0,0.0,0.0,4.0,3.0,1,0,0.44134505158578524,0.28754298815437523,0.2711119602598395,0.40590405904059046,0.2829028290282903,0.31119311193111926,1.0
172,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.20076481835564056,0.25430210325047803,0.5449330783938815,0.2134831460674157,0.2528089887640449,0.5337078651685393,1.0
173,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0.28851430811446493,0.29753038024304196,0.4139553116424932,0.2911392405063291,0.2911392405063291,0.4177215189873418,0.0
174,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0.5454545454545455,0.27272727272727276,0.18181818181818185,0.5182926829268292,0.274390243902439,0.20731707317073167,1.0
175,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.6086603675149267,0.25482580719958264,0.1365138252854907,0.5968281006026351,0.253248680525983,0.14992321887138194,2.0
176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.2714007782101167,0.306420233463035,0.42217898832684825,0.28242517267843437,0.30007674597083656,0.41749808135072913,0.0
177,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0.09506790564689065,0.1901358112937813,0.7147962830593281,0.10873681363267514,0.18122802272112523,0.7100351636461996,0.0
178,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0.41395531164249316,0.2885143081144649,0.2975303802430419,0.3971865949524204,0.29168390566818375,0.311129499379396,2.0
179,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0.27982899339292655,0.29731830547998445,0.42285270112708895,0.28851430811446493,0.29753038024304196,0.4139553116424932,0.0
180,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0.4545454545454546,0.27272727272727276,0.27272727272727276,0.44365361803084225,0.2740213523131673,0.28232502965599054,0.0
181,-10.0,-10.0,6.0,3.0,0.0,0.0,5.0,6.0,1,0,0.4532775453277545,0.2928870292887029,0.25383542538354253,0.44134505158578524,0.28754298815437523,0.2711119602598395,1.0
182,7.0,47.0,9.0,16.0,0.0,0.0,7.0,3.0,1,0,0.1109874826147427,0.17969401947148816,0.7093184979137691,0.1067013117639663,0.19655504798625373,0.69674364024978,1.0
183,41.0,17.0,14.0,11.0,0.0,0.0,3.0,6.0,1,0,0.7151598592626587,0.17293865687624294,0.11190148386109836,0.6840882694541232,0.19586527293844366,0.12004645760743322,2.0
184,3.0,-7.0,8.0,6.0,0.0,0.0,5.0,3.0,1,0,0.5696460056964601,0.2718025227180252,0.15855147158551472,0.5930489774315686,0.24502286699146386,0.1619281555769674,0.0
185,-8.0,-13.0,4.0,7.0,0.0,0.0,7.0,5.0,1,0,0.41257367387033406,0.27111984282907664,0.3163064833005894,0.3974976925443544,0.2747410521997744,0.3277612552558712,0.0
186,-10.0,-16.0,3.0,5.0,0.0,0.0,10.0,2.0,1,0,0.4992827177367116,0.28047940908150565,0.2202378731817827,0.5117329137305876,0.27543271533146335,0.21283437093794896,2.0
187,-19.0,26.0,3.0,16.0,0.0,0.0,2.0,2.0,1,0,0.11214953271028037,0.26479750778816197,0.6230529595015576,0.12875536480686695,0.24892703862660942,0.6223175965665235,2.0
188,-7.0,3.0,5.0,8.0,0.0,0.0,7.0,6.0,1,0,0.36559577063847093,0.3066287108580724,0.3277755185034567,0.351250665247472,0.3102714209686003,0.33847791378392755,0.0
189,-19.0,9.0,6.0,10.0,0.0,0.0,4.0,4.0,1,0,0.3067869752844252,0.27971753628874063,0.41349548842683403,0.28289473684210525,0.28289473684210525,0.43421052631578944,2.0
190,-15.0,-22.0,6.0,2.0,0.0,0.0,4.0,7.0,1,0,0.44155844155844154,0.2792207792207792,0.2792207792207792,0.4569015166058744,0.26761374544058353,0.2754847379535419,1.0
191,-21.0,-11.0,2.0,5.0,0.0,0.0,8.0,6.0,1,0,0.49799419006778256,0.2642135841748513,0.23779222575736617,0.49799419006778256,0.2642135841748513,0.23779222575736617,2.0
192,-10.0,8.0,3.0,9.0,0.0,0.0,6.0,8.0,1,0,0.30778515389257693,0.3180446590223295,0.3741701870850936,0.3125,0.3125,0.375,0.0
