,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_won,games_against_lost,games_draw_home_team,games_draw_away_team,League_1.0,League_1729.0,League_4769.0,League_7809.0,League_10257.0,League_13274.0,League_15722.0,League_17642.0,League_19694.0,League_21518.0,League_24558.0,B365_Win,B365_Draw,B365_Defeat,BW_Win,BW_Draw,BW_Defeat,label
4169,6.0,11.0,9.0,12.0,4.0,2.0,5.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0.30107526881720426,0.28779253636938645,0.4111321948134092,0.31654676258992803,0.2877697841726619,0.3956834532374101,0.0
4170,29.0,-2.0,14.0,2.0,0.0,0.0,0.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0.7329742821632302,0.1695401383090602,0.09748557952770963,0.7044320516583504,0.17845611975344877,0.11711182858820077,2.0
4171,-23.0,-16.0,2.0,4.0,3.0,1.0,4.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0.374885145482389,0.286676875957121,0.33843797856049007,0.358695652173913,0.28260869565217395,0.358695652173913,2.0
4172,5.0,11.0,7.0,11.0,1.0,1.0,5.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0.5594405594405595,0.24475524475524477,0.19580419580419584,0.5345591856837958,0.25283204728287634,0.21260876703332787,1.0
4173,3.0,5.0,9.0,7.0,2.0,2.0,5.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0.478231748158071,0.28834561286001337,0.23342263898191556,0.4571863987046386,0.2928850366701591,0.2499285646252024,0.0
4174,4.0,-7.0,9.0,8.0,1.0,5.0,6.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0.39252336448598135,0.2803738317757009,0.32710280373831774,0.38041507152931703,0.2971992746322789,0.32238565383840423,1.0
4175,-1.0,21.0,2.0,13.0,0.0,0.0,4.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0.1630716134598792,0.23295944779982744,0.6039689387402933,0.18710781517398747,0.2281802624073018,0.5847119224187108,0.0
4176,-8.0,-18.0,7.0,3.0,3.0,1.0,4.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0.478231748158071,0.28834561286001337,0.23342263898191556,0.4545013110614742,0.28668544236185295,0.2588132465766728,2.0
4177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.5960720381078533,0.2599536388414805,0.14397432305066613,0.5845606198087527,0.2704683464786766,0.14497103371257067,2.0
4178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.40930979133226325,0.3138041733547351,0.2768860353130016,0.37862358928966583,0.3080327506085417,0.31334366010179243,2.0
4179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.705983027882764,0.2086572060186836,0.08535976609855238,0.6711218541163088,0.22650362576425423,0.10237452011943694,2.0
4180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.3924050632911393,0.3037974683544304,0.3037974683544304,0.3777974739641037,0.2924883669399512,0.32971415909594504,2.0
4181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.4365343242714649,0.30275767651085467,0.26070799921768045,0.40390879478827363,0.30293159609120524,0.2931596091205212,1.0
4182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.4906810962416293,0.29287527931922247,0.21644362443914825,0.504885993485342,0.29315960912052114,0.2019543973941368,0.0
4183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.3924050632911393,0.3037974683544304,0.3037974683544304,0.36277249860257127,0.3074343208496367,0.32979318054779205,2.0
4184,-2.0,5.0,2.0,5.0,0.0,0.0,2.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0.22362959020755718,0.2846194784459819,0.4917509313464608,0.2234685073339086,0.28731665228645387,0.48921484037963764,1.0
4185,4.0,2.0,4.0,2.0,0.0,0.0,3.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0.5615519253208868,0.26794049008168025,0.1705075845974329,0.5274725274725275,0.2835164835164835,0.189010989010989,1.0
4186,-8.0,-2.0,0.0,3.0,0.0,0.0,3.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0.4469434832756632,0.3027681660899654,0.2502883506343714,0.42351947640662935,0.3086667370421197,0.26781378655125093,2.0
4187,8.0,1.0,4.0,4.0,0.0,0.0,2.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0.5141647343482205,0.27674160701683637,0.209093658634943,0.4811915218636624,0.2902425052510979,0.22856597288523964,0.0
4188,-3.0,-3.0,1.0,0.0,0.0,0.0,4.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0.46002596920793914,0.30421072157299195,0.2357633092190688,0.4446481311742541,0.3089927691210918,0.24635909970465422,1.0
4189,2.0,4.0,4.0,5.0,0.0,0.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0.3259779338014042,0.312938816449348,0.3610832497492477,0.3431952662721893,0.3136094674556213,0.3431952662721893,1.0
4190,-1.0,0.0,3.0,4.0,0.0,0.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0.5433938829374321,0.2685918335662164,0.18801428349635152,0.5488540410132691,0.27864897466827504,0.17249698431845598,0.0
4191,-1.0,-3.0,3.0,2.0,0.0,0.0,0.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0.4469434832756632,0.3027681660899654,0.2502883506343714,0.42092133358702777,0.3290839517134944,0.24999471469947782,1.0
4192,2.0,2.0,2.0,4.0,0.0,0.0,4.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0.41791044776119407,0.3134328358208956,0.2686567164179105,0.4212775048066652,0.31232642597735527,0.26639606921597947,1.0
4193,2.0,4.0,5.0,4.0,0.0,0.0,2.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0.3366583541147132,0.31421446384039897,0.34912718204488774,0.3431952662721893,0.3136094674556213,0.3431952662721893,1.0
4194,-3.0,-3.0,2.0,1.0,0.0,0.0,4.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0.449438202247191,0.3146067415730337,0.23595505617977527,0.46601845421172744,0.29794622482389127,0.23603532096438137,2.0
4195,-5.0,6.0,3.0,4.0,0.0,0.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0.2606635071090047,0.31279620853080564,0.42654028436018954,0.24371675878610907,0.31640421316091355,0.43987902805297746,1.0
4196,3.0,-1.0,5.0,3.0,0.0,0.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0.5386064030131826,0.2900188323917138,0.17137476459510356,0.5332451207409857,0.2924247436321535,0.1743301356268607,0.0
4197,-3.0,-5.0,3.0,1.0,0.0,0.0,1.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0.5414615675880349,0.2882241575160924,0.17031427489587278,0.5670560402188378,0.279166050569274,0.15377790921188822,0.0
4198,-5.0,-1.0,1.0,3.0,0.0,0.0,0.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0.3610832497492477,0.3259779338014042,0.312938816449348,0.3697572978414047,0.3123811654177385,0.3178615367408567,0.0
4199,4.0,-5.0,4.0,3.0,0.0,0.0,5.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0.5272820425241227,0.2806762872513022,0.1920416702245752,0.5338896457765667,0.27503405994550406,0.19107629427792913,2.0
4200,-2.0,2.0,2.0,5.0,0.0,0.0,3.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0.42638698294452065,0.32346598706136054,0.2501470299941188,0.4212775048066652,0.31232642597735527,0.26639606921597947,1.0
